,resultId,raceId,name,year,circuitId,driverId,constructorId,starting_position,finishing_status,train_test,ending_position
20671,20671,351,Singapore Grand Prix,2010,15,30,131,9,1,1,13
20672,20672,351,Singapore Grand Prix,2010,15,67,5,13,1,1,14
20673,20673,351,Singapore Grand Prix,2010,15,810,166,20,1,1,15
20674,20674,351,Singapore Grand Prix,2010,15,5,205,19,2,1,16
20675,20675,351,Singapore Grand Prix,2010,15,10,166,18,2,1,0
20676,20676,351,Singapore Grand Prix,2010,15,2,15,14,2,1,0
20677,20677,351,Singapore Grand Prix,2010,15,1,1,3,2,1,0
20678,20678,351,Singapore Grand Prix,2010,15,32,164,22,2,1,0
20679,20679,351,Singapore Grand Prix,2010,15,155,15,10,2,1,0
20680,20680,351,Singapore Grand Prix,2010,15,811,164,23,2,1,0
20681,20681,351,Singapore Grand Prix,2010,15,15,205,21,2,1,0
20682,20682,351,Singapore Grand Prix,2010,15,24,10,16,2,1,0
20683,20683,352,Japanese Grand Prix,2010,22,20,9,1,1,1,1
20684,20684,352,Japanese Grand Prix,2010,22,17,9,2,1,1,2
20685,20685,352,Japanese Grand Prix,2010,22,4,6,4,1,1,3
20686,20686,352,Japanese Grand Prix,2010,22,18,1,5,1,1,4
20687,20687,352,Japanese Grand Prix,2010,22,1,1,8,1,1,5
20688,20688,352,Japanese Grand Prix,2010,22,30,131,10,1,1,6
20689,20689,352,Japanese Grand Prix,2010,22,155,15,14,1,1,7
20690,20690,352,Japanese Grand Prix,2010,22,2,15,11,1,1,8
20691,20691,352,Japanese Grand Prix,2010,22,22,3,7,1,1,9
20692,20692,352,Japanese Grand Prix,2010,22,67,5,18,1,1,10
20693,20693,352,Japanese Grand Prix,2010,22,153,5,16,1,1,11
20694,20694,352,Japanese Grand Prix,2010,22,5,205,20,1,1,12
20695,20695,352,Japanese Grand Prix,2010,22,15,205,19,1,1,13
20696,20696,352,Japanese Grand Prix,2010,22,10,166,22,1,1,14
20697,20697,352,Japanese Grand Prix,2010,22,811,164,23,1,1,15
20698,20698,352,Japanese Grand Prix,2010,22,29,164,24,1,1,16
